0.1 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.932 | MinDCF = 0.53
0.1 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 5 | ActDCF = 1.147 | MinDCF = 0.53
0.5 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.137 | MinDCF = 0.135
0.5 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 5 | ActDCF = 0.205 | MinDCF = 0.134
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.818 | MinDCF = 0.535
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.117 | MinDCF = 0.537
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.141 | MinDCF = 0.134
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.212 | MinDCF = 0.135
0.1 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.893 | MinDCF = 0.535
0.1 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 1.175 | MinDCF = 0.534
0.5 | GMM Diagonal | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.147 | MinDCF = 0.144
0.5 | GMM Diagonal | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 0.214 | MinDCF = 0.144
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.849 | MinDCF = 0.52
0.1 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.164 | MinDCF = 0.521
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.141 | MinDCF = 0.139
0.5 | GMM Diagonal | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.202 | MinDCF = 0.14
0.1 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.838 | MinDCF = 0.52
0.1 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 1.172 | MinDCF = 0.529
0.5 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.152 | MinDCF = 0.133
0.5 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 0.203 | MinDCF = 0.132
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.751 | MinDCF = 0.545
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.192 | MinDCF = 0.544
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.151 | MinDCF = 0.143
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.216 | MinDCF = 0.144
0.1 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.791 | MinDCF = 0.58
0.1 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 1.3 | MinDCF = 0.581
0.5 | GMM Diagonal | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.176 | MinDCF = 0.143
0.5 | GMM Diagonal | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 0.218 | MinDCF = 0.144
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.784 | MinDCF = 0.55
0.1 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.172 | MinDCF = 0.55
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.152 | MinDCF = 0.141
0.5 | GMM Diagonal | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.212 | MinDCF = 0.141
0.1 | GMM Diagonal | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.678 | MinDCF = 0.486
0.1 | GMM Diagonal | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 1.079 | MinDCF = 0.482
0.5 | GMM Diagonal | nComponents = 32 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.134 | MinDCF = 0.131
0.5 | GMM Diagonal | nComponents = 32 | Raw | Calibrated | PCA = 5 | ActDCF = 0.181 | MinDCF = 0.131
0.1 | GMM Diagonal | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.647 | MinDCF = 0.527
0.1 | GMM Diagonal | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.212 | MinDCF = 0.53
0.5 | GMM Diagonal | nComponents = 32 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.154 | MinDCF = 0.145
0.5 | GMM Diagonal | nComponents = 32 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.197 | MinDCF = 0.145
0.1 | GMM Diagonal | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.675 | MinDCF = 0.54
0.1 | GMM Diagonal | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 1.361 | MinDCF = 0.54
0.5 | GMM Diagonal | nComponents = 32 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.202 | MinDCF = 0.168
0.5 | GMM Diagonal | nComponents = 32 | Raw | Calibrated | PCA = 6 | ActDCF = 0.218 | MinDCF = 0.167
0.1 | GMM Diagonal | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.646 | MinDCF = 0.532
0.1 | GMM Diagonal | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.188 | MinDCF = 0.535
0.5 | GMM Diagonal | nComponents = 32 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.177 | MinDCF = 0.139
0.5 | GMM Diagonal | nComponents = 32 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.219 | MinDCF = 0.141
