0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.99 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 8.038 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.881 | MinDCF = 0.558
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 0.893 | MinDCF = 0.558
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.187 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.599 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.624 | MinDCF = 0.618
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.844 | MinDCF = 0.626
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.03 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 6 | ActDCF = 8.083 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.888 | MinDCF = 0.563
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 6 | ActDCF = 0.898 | MinDCF = 0.573
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 5.248 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.409 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.628 | MinDCF = 0.627
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.823 | MinDCF = 0.627
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.99 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 8.038 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.881 | MinDCF = 0.558
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 0.893 | MinDCF = 0.558
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.274 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.584 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.643 | MinDCF = 0.633
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.843 | MinDCF = 0.64
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.021 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 6 | ActDCF = 8.086 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.886 | MinDCF = 0.562
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 6 | ActDCF = 0.898 | MinDCF = 0.573
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 5.336 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.386 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.644 | MinDCF = 0.643
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.821 | MinDCF = 0.649
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.99 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 5 | ActDCF = 8.038 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.881 | MinDCF = 0.558
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 5 | ActDCF = 0.893 | MinDCF = 0.558
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.288 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.571 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.645 | MinDCF = 0.64
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.841 | MinDCF = 0.647
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.021 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 6 | ActDCF = 8.086 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.886 | MinDCF = 0.562
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 6 | ActDCF = 0.898 | MinDCF = 0.573
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 5.377 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.394 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.654 | MinDCF = 0.654
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.822 | MinDCF = 0.656
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 5 | ActDCF = 3.99 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 5 | ActDCF = 8.038 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.881 | MinDCF = 0.558
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 5 | ActDCF = 0.893 | MinDCF = 0.558
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.336 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.591 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.657 | MinDCF = 0.649
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.843 | MinDCF = 0.655
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.021 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 6 | ActDCF = 8.086 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.886 | MinDCF = 0.562
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 6 | ActDCF = 0.898 | MinDCF = 0.573
