0.5 | GMM Full | nComponents = 8 | Raw | Calibrated | PCA = 5 | ActDCF = 0.169 | MinDCF = 0.137
0.1 | GMM Full | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.695 | MinDCF = 0.542
0.1 | GMM Full | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.235 | MinDCF = 0.542
0.5 | GMM Full | nComponents = 8 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.168 | MinDCF = 0.147
0.5 | GMM Full | nComponents = 8 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.204 | MinDCF = 0.148
0.1 | GMM Full | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.661 | MinDCF = 0.485
0.1 | GMM Full | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 1.135 | MinDCF = 0.486
0.5 | GMM Full | nComponents = 8 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.152 | MinDCF = 0.132
0.5 | GMM Full | nComponents = 8 | Raw | Calibrated | PCA = 6 | ActDCF = 0.193 | MinDCF = 0.134
0.1 | GMM Full | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.722 | MinDCF = 0.501
0.1 | GMM Full | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.17 | MinDCF = 0.501
0.5 | GMM Full | nComponents = 8 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.165 | MinDCF = 0.135
0.5 | GMM Full | nComponents = 8 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.197 | MinDCF = 0.137
0.1 | GMM Full | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.597 | MinDCF = 0.501
0.1 | GMM Full | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 1.243 | MinDCF = 0.499
0.5 | GMM Full | nComponents = 16 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.204 | MinDCF = 0.147
0.5 | GMM Full | nComponents = 16 | Raw | Calibrated | PCA = 5 | ActDCF = 0.201 | MinDCF = 0.148
0.1 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.637 | MinDCF = 0.561
0.1 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.301 | MinDCF = 0.565
0.5 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.184 | MinDCF = 0.153
0.5 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.212 | MinDCF = 0.154
0.1 | GMM Full | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.577 | MinDCF = 0.492
0.1 | GMM Full | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 1.254 | MinDCF = 0.492
0.5 | GMM Full | nComponents = 16 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.204 | MinDCF = 0.153
0.5 | GMM Full | nComponents = 16 | Raw | Calibrated | PCA = 6 | ActDCF = 0.212 | MinDCF = 0.153
0.1 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.625 | MinDCF = 0.51
0.1 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.224 | MinDCF = 0.507
0.5 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.178 | MinDCF = 0.134
0.5 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.198 | MinDCF = 0.136
