0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.751 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.714 | MinDCF = 0.613
0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 4.767 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.649 | MinDCF = 0.586
0.5 | 0.1 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.00e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.709 | MinDCF = 0.616
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.751 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.714 | MinDCF = 0.613
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 4.767 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.649 | MinDCF = 0.586
0.5 | 0.1 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 5.99e-05 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.709 | MinDCF = 0.616
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.751 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.714 | MinDCF = 0.613
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 4.767 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.649 | MinDCF = 0.586
0.5 | 0.1 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 4.693 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 3.59e-04 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.707 | MinDCF = 0.616
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.751 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.695 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.714 | MinDCF = 0.612
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 4.767 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.649 | MinDCF = 0.586
0.5 | 0.1 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 4.688 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 2.15e-03 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.706 | MinDCF = 0.612
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.751 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.701 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.709 | MinDCF = 0.605
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 4.765 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 0.648 | MinDCF = 0.586
0.5 | 0.1 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 4.68 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 1.29e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 0.701 | MinDCF = 0.605
0.5 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 4.755 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 5| ActDCF = 0.641 | MinDCF = 0.582
0.5 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 4.682 | MinDCF = 1.0
0.5 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 0.681 | MinDCF = 0.594
