0.1 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.593
0.1 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.596
0.1 | 0.1 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 7.74e-02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.591
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.591
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.593
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 4.64e-01 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.585
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.595
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.586
0.1 | 0.1 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 2.78e+00 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.587
0.1 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.595
0.1 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.587
0.1 | 0.1 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.67e+01 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 5| ActDCF = 1.0 | MinDCF = 0.595
0.1 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Raw | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
0.1 | 0.1 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 1.0
0.1 | 0.5 | Linear Regression | Lambda = 1.00e+02 | Normalized | Uncalibrated | PCA = 6| ActDCF = 1.0 | MinDCF = 0.59
