0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.951 | MinDCF = 0.539
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.566
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.152 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.007 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.797 | MinDCF = 0.705
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.819 | MinDCF = 0.718
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.817 | MinDCF = 0.915
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.179 | MinDCF = 0.926
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.96 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 6.748 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.791 | MinDCF = 0.479
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.479
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.951 | MinDCF = 0.539
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.566
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.148 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.065 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.796 | MinDCF = 0.71
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.827 | MinDCF = 0.72
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.816 | MinDCF = 0.916
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.207 | MinDCF = 0.928
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.96 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 6.748 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.791 | MinDCF = 0.479
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.479
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.951 | MinDCF = 0.539
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.566
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.134 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.081 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.799 | MinDCF = 0.711
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.827 | MinDCF = 0.721
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.859 | MinDCF = 0.924
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.187 | MinDCF = 0.933
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.96 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 6.748 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.791 | MinDCF = 0.479
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.48
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.951 | MinDCF = 0.538
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.565
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.119 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.131 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.8 | MinDCF = 0.712
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.832 | MinDCF = 0.724
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.88 | MinDCF = 0.93
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.192 | MinDCF = 0.94
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.96 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 6 | ActDCF = 6.743 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.791 | MinDCF = 0.48
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 6 | ActDCF = 0.749 | MinDCF = 0.479
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.951 | MinDCF = 0.54
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 6 | ActDCF = 0.749 | MinDCF = 0.567
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.45 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 6 | ActDCF = 8.779 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.839 | MinDCF = 0.769
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.002 | MinDCF = 0.893
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.939 | MinDCF = 1.021
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.242 | MinDCF = 0.999
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 6 | ActDCF = 2.971 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 6 | ActDCF = 6.752 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.795 | MinDCF = 0.477
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.477
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 6 | ActDCF = 4.975 | MinDCF = 0.537
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 6 | ActDCF = 0.75 | MinDCF = 0.565
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 3.1 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 6 | ActDCF = 7.144 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.798 | MinDCF = 0.717
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 6 | ActDCF = 0.834 | MinDCF = 0.728
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.878 | MinDCF = 0.931
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.194 | MinDCF = 0.947
