0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.771 | MinDCF = 0.542
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 5 | ActDCF = 0.749 | MinDCF = 0.548
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.187 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 6.935 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.827 | MinDCF = 0.657
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.795 | MinDCF = 0.674
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.087 | MinDCF = 0.903
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.015 | MinDCF = 0.911
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.951 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 5 | ActDCF = 6.716 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.775 | MinDCF = 0.482
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 5 | ActDCF = 0.746 | MinDCF = 0.49
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.795 | MinDCF = 0.537
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 5 | ActDCF = 0.746 | MinDCF = 0.549
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.178 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.061 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.811 | MinDCF = 0.661
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.811 | MinDCF = 0.684
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.931 | MinDCF = 0.916
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.051 | MinDCF = 0.917
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.941 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 5 | ActDCF = 6.707 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.765 | MinDCF = 0.483
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 5 | ActDCF = 0.745 | MinDCF = 0.49
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 5 | ActDCF = 4.705 | MinDCF = 0.543
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 5 | ActDCF = 0.745 | MinDCF = 0.55
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 3.167 | MinDCF = 1.0
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 5 | ActDCF = 7.134 | MinDCF = 1.0
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.807 | MinDCF = 0.666
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 5 | ActDCF = 0.819 | MinDCF = 0.692
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 4.907 | MinDCF = 0.913
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.059 | MinDCF = 0.923
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 5 | ActDCF = 2.935 | MinDCF = 1.0
