0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 6 | ActDCF = 5.449 | MinDCF = 0.938
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.989
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.906 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.77 | MinDCF = 0.685
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.689
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.79 | MinDCF = 0.891
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.878
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.25 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.854 | MinDCF = 0.508
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.523
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 6 | ActDCF = 5.294 | MinDCF = 0.6
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.599
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.924 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.772 | MinDCF = 0.684
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.689
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.792 | MinDCF = 0.894
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.881
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.25 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.854 | MinDCF = 0.507
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.524
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 6 | ActDCF = 5.294 | MinDCF = 0.602
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.599
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.928 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 0.772 | MinDCF = 0.687
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.687
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 4.792 | MinDCF = 0.899
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Normalized | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.882
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 3.25 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 0.854 | MinDCF = 0.507
0.5 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 0.524
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 6 | ActDCF = 5.294 | MinDCF = 0.602
0.5 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 6 | ActDCF = 9.0 | MinDCF = 0.599
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Uncalibrated | PCA = 6 | ActDCF = 2.931 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Normalized | Calibrated | PCA = 6 | ActDCF = 1.0 | MinDCF = 1.0
